iter	Passed	Remaining
1314	2180	7769
1315	2182	7767
1316	2183	7765
1317	2185	7763
1318	2186	7761
1319	2188	7759
1320	2190	7758
1321	2192	7756
1322	2193	7754
1323	2195	7753
1324	2196	7751
1325	2198	7749
1326	2200	7747
1327	2201	7745
1328	2203	7743
1329	2204	7741
1330	2206	7740
1331	2208	7738
1332	2209	7736
1333	2211	7734
1334	2213	7733
1335	2214	7731
1336	2216	7729
1337	2217	7727
1338	2219	7726
1339	2221	7724
1340	2222	7722
1341	2224	7720
1342	2230	7735
1343	2232	7734
1344	2234	7732
1345	2235	7730
1346	2237	7728
1347	2238	7726
1348	2240	7725
1349	2242	7723
1350	2243	7721
1351	2245	7719
1352	2247	7718
1353	2248	7716
1354	2250	7714
1355	2251	7712
1356	2253	7709
1357	2254	7707
1358	2256	7705
1359	2258	7703
1360	2259	7702
1361	2261	7700
1362	2263	7698
1363	2264	7697
1364	2266	7696
1365	2268	7694
1366	2269	7692
1367	2271	7689
1368	2272	7688
1369	2274	7686
1370	2275	7683
1371	2277	7681
1372	2278	7679
1373	2280	7677
1374	2281	7675
1375	2283	7673
1376	2285	7671
1377	2286	7669
1378	2288	7667
1379	2289	7666
1380	2292	7666
1381	2293	7665
1382	2295	7663
1383	2297	7661
1384	2298	7659
1385	2300	7657
1386	2301	7654
1387	2303	7652
1388	2304	7650
1389	2306	7648
1390	2307	7646
1391	2309	7644
1392	2310	7642
1393	2312	7641
1394	2314	7639
1395	2315	7637
1396	2317	7635
1397	2319	7634
1398	2320	7632
1399	2322	7630
1400	2323	7628
1401	2325	7626
1402	2326	7624
1403	2328	7622
1404	2330	7620
1405	2331	7618
1406	2333	7616
1407	2334	7614
1408	2336	7612
1409	2338	7611
1410	2339	7609
1411	2341	7607
1412	2342	7605
1413	2344	7603
1414	2346	7602
1415	2347	7600
1416	2349	7599
1417	2351	7597
1418	2352	7595
1419	2354	7593
1420	2355	7591
1421	2357	7589
1422	2358	7587
1423	2360	7585
1424	2362	7583
1425	2363	7581
1426	2365	7579
1427	2366	7577
1428	2368	7575
1429	2369	7573
1430	2371	7571
1431	2372	7569
1432	2374	7567
1433	2376	7565
1434	2377	7563
1435	2379	7561
1436	2381	7563
1437	2383	7561
1438	2385	7559
1439	2386	7558
1440	2388	7556
1441	2389	7554
1442	2391	7552
1443	2393	7550
1444	2394	7548
1445	2396	7546
1446	2397	7545
1447	2399	7542
1448	2400	7540
1449	2402	7538
1450	2403	7536
1451	2405	7534
1452	2407	7532
